date,return_pct
2025-07-18,-4.15
2025-07-19,-5.76
2025-07-20,-3.91
2025-07-21,-3.32
2025-07-22,-0.37
2025-07-23,-1.98
2025-07-24,-3.52
2025-07-25,-4.13
2025-07-26,-5.37
2025-07-27,-4.21
2025-07-28,-6.88
2025-07-29,-5.15
2025-07-30,-4.85
2025-07-31,-3.32
2025-08-01,-2.99
2025-08-02,-4.12
2025-08-03,-3.55
2025-08-04,-2.21
2025-08-05,-1.88
2025-08-06,-2.11
2025-08-07,-0.45
2025-08-08,-1.92
2025-08-09,-0.21
2025-08-10,0.88
2025-08-11,1.15
2025-08-12,0.82
2025-08-13,1.01
2025-08-14,2.45
2025-08-15,1.88
2025-08-16,2.21
2025-08-17,3.75
2025-08-18,4.11
2025-08-19,2.78
2025-08-20,3.05
2025-08-21,4.52
2025-08-22,3.99
2025-08-23,4.22
2025-08-24,5.65
2025-08-25,6.31
2025-08-26,5.98
2025-08-27,4.21
2025-08-28,3.55
2025-08-29,4.02
2025-08-30,5.31
2025-08-31,6.98
2025-09-01,7.25
2025-09-02,6.92
2025-09-03,5.11
2025-09-04,4.45
2025-09-05,5.02
2025-09-06,6.69
2025-09-07,7.22
2025-09-08,6.85
2025-09-09,7.18
2025-09-10,8.91
2025-09-11,9.45
2025-09-12,8.02
2025-09-13,7.69
2025-09-14,8.22
2025-09-15,9.85
2025-09-16,10.18
2025-09-17,9.91
2025-09-18,8.45
2025-09-19,7.02
2025-09-20,6.69
2025-09-21,7.22
2025-09-22,8.85
2025-09-23,9.18
2025-09-24,8.91
2025-09-25,9.45
2025-09-26,10.02
2025-09-27,9.69
2025-09-28,10.22
2025-09-29,11.85
2025-09-30,12.18
2025-10-01,10.91
2025-10-02,11.45
2025-10-03,12.02
2025-10-04,11.69
2025-10-05,10.22
2025-10-06,9.85
2025-10-07,10.18
2025-10-08,11.91
2025-10-09,12.45
2025-10-10,13.02
2025-10-11,12.69
2025-10-12,13.22
2025-10-13,11.85
2025-10-14,12.18
2025-10-15,13.91
2025-10-16,14.45
2025-10-17,15.02
2025-10-18,14.69
2025-10-19,13.22
2025-10-20,12.85
2025-10-21,13.18
2025-10-22,14.91
2025-10-23,15.45
2025-10-24,14.02
2025-10-25,14.69
2025-07-26,-10.45
2025-07-26,-10.33
2025-07-26,-10.33
